Id,Label,DisplayName,Gender,ProfileURL,ClusteringCoefficient,Triangles
elleralston.bsky.social,elleralston,Elle Ralston,female,https://bsky.app/profile/elleralston.bsky.social,0.000755786,8
mylaminoki.bsky.social,mylaminoki,"Myla ""RESIST"" Minoki",female,https://bsky.app/profile/mylaminoki.bsky.social,0.5,3
ortiz1980.bsky.social,ortiz1980,El pecador,male,https://bsky.app/profile/ortiz1980.bsky.social,0,0
bucksnortt.bsky.social,bucksnortt,Buck,male,https://bsky.app/profile/bucksnortt.bsky.social,0,0
fooyoo2.bsky.social,fooyoo2,Jacqs,unknown,https://bsky.app/profile/fooyoo2.bsky.social,0.000368111,319
cag075.bsky.social,cag075,Cynthia Guilfoy,female,https://bsky.app/profile/cag075.bsky.social,0,0
arapache.bsky.social,arapache,,unknown,https://bsky.app/profile/arapache.bsky.social,0,0
hungrysnake.bsky.social,hungrysnake,,male,https://bsky.app/profile/hungrysnake.bsky.social,0,0
khatmfr.bsky.social,khatmfr,,male,https://bsky.app/profile/khatmfr.bsky.social,0,0
mlowery97.bsky.social,mlowery97,Mike Lowery,male,https://bsky.app/profile/mlowery97.bsky.social,0,0
smithlisaa11.bsky.social,smithlisaa11,Lisa A Smith,female,https://bsky.app/profile/smithlisaa11.bsky.social,0,0
goldendayze1.bsky.social,goldendayze1,Anne BrÃ¸ndum,female,https://bsky.app/profile/goldendayze1.bsky.social,0.666666667,4
augustusoctavius.bsky.social,augustusoctavius,Sol Invictus,female,https://bsky.app/profile/augustusoctavius.bsky.social,0,0
neverforgeter1.bsky.social,neverforgeter1,Mme marie 4 democracy,female,https://bsky.app/profile/neverforgeter1.bsky.social,0.2,3
irishlassie07.bsky.social,irishlassie07,Irish Lassie â˜˜ï¸,female,https://bsky.app/profile/irishlassie07.bsky.social,0,0
mary2reese.bsky.social,mary2reese,Mary T. Hagan,female,https://bsky.app/profile/mary2reese.bsky.social,0,0
mar1957.bsky.social,Mar-57,,male,https://bsky.app/profile/mar1957.bsky.social,0,0
thefateofophelia.bsky.social,thefateofophelia,The Fate of Ophelia,male,https://bsky.app/profile/thefateofophelia.bsky.social,0,0
tgtarheel.bsky.social,tgtarheel,,male,https://bsky.app/profile/tgtarheel.bsky.social,0,0
yulrespi1965.bsky.social,yulrespi1965,YulREspinosa,unknown,https://bsky.app/profile/yulrespi1965.bsky.social,0,0
